county,department,contact_name,email,phone,address,bulk_ftp_published,bulk_notes,online_search_url,official_source_url,contact_type
Reeves,County Clerk - Real Property,countyclerk@reevescounty.org,countyclerk@reevescounty.org,432-287-0222 Opt 3,"100 E 4th St Suite 101 Pecos TX 79772",Yes,"Weekly FTP $50; Monthly FTP $200 (published fee schedule)",https://reeves.tx.publicsearch.us/,https://www.reevescounty.org/departments/county-clerk,email
Midland,County Clerk - Land and Vitals,ccland@co.midland.tx.us,ccland@co.midland.tx.us,432-688-4401,"500 N Loraine St 4th Floor Midland TX 79701",No,"No bulk/FTP fee schedule on official site; inquire by email",https://www.co.midland.tx.us/184/Official-Public-Records,https://www.co.midland.tx.us/186/Payments,email
Harris,County Clerk - Data Sales,datasales@cco.hctx.net,datasales@cco.hctx.net,713-274-6390,"201 Caroline Suite 310 Houston TX 77002",Yes,"Pipe-delimited index + TIFF images; custom date range; monthly FTP daily updates",https://www.cclerk.hctx.net/,https://www.cclerk.hctx.net/applications/websearch/,email
Harris,County Clerk - Public Records (copies not bulk),ccoinfoFM@cco.hctx.net,ccoinfoFM@cco.hctx.net,713-274-6390,"201 Caroline Suite 310 Houston TX 77002",Partial,"Copy orders; bulk sales via Data Sales desk",https://www.cclerk.hctx.net/,https://www.cclerk.hctx.net/PublicRecords.aspx,email
Tarrant,County Clerk - Real Estate / Bulk Data,wm-countyclerk@tarrantcountytx.gov,wm-countyclerk@tarrantcountytx.gov,817-884-1069 bulk / 817-884-1195 main,"100 W Weatherford St Room B20 Fort Worth TX 76196",Yes,"Pay online Central Library-Bulk Data then call 817-884-1069",https://www.tarrantcountytx.gov/en/county-clerk/real-estate-records.html,https://www.tarrantcountytx.gov/en/county-clerk.html,email
Fort Bend,County Clerk - Records Division,cclerkrecords@fortbendcountytx.gov,cclerkrecords@fortbendcountytx.gov,281-341-8685,"301 Jackson St Richmond TX 77469",Yes,"FTP $10-20/tier + $50 setup; CD-ROM $20 (published fee schedule)",https://www.fortbendcountytx.gov/government/departments/county-clerk/recording/real-and-personal-property,https://www.fortbendcountytx.gov/government/departments/county-clerk/contact-us,email
Collin,County Clerk - Land Recordings,,,972-548-4185,"2300 Bloomdale Rd Suite 2106 McKinney TX 75071",No,"No OPR bulk email published; use Online Property Records Request Form or phone",https://collin.tx.publicsearch.us/,https://www.collincountytx.gov/County-Clerk/land-recordings,form
Collin,County Clerk - County Directory,,,972-548-4100,"2300 Bloomdale Rd McKinney TX 75071",No,General county directory if land-records line unavailable,,https://www.collincountytx.gov/Contact/county-directory,phone
Dallas,County Clerk - Recording Division,recording@dallascounty.org,recording@dallascounty.org,214-653-7099,"500 Elm St Suite 2100 Dallas TX 75202",No,"Large copy batches 10+ docs; no published bulk FTP",https://www.dallascounty.org/services/record-search/,https://www.dallascounty.org/government/county-clerk/recording/faqs.php,email
Dallas,County Clerk - PIA / General Inquiry,CC-Inquiry@dallascounty.org,CC-Inquiry@dallascounty.org,214-653-7099,"500 Elm St Suite 2100 Dallas TX 75202",No,Public Information Act requests,,https://www.dallascounty.org/government/county-clerk/administration/public-info-act.php,email
Denton,County Clerk - Recording Department,,,940-349-2010,"1450 E McKinney St Denton TX 76209",No,"Bulk court data discontinued; OPR bulk unclear - contact form only",https://denton.tx.publicsearch.us/,https://www.dentoncounty.gov/262/Recording-Division,form
Denton,County Clerk - Contact Form,,,,940-349-2010,"1450 E McKinney St Denton TX 76209",No,Web form for Recording inquiries,,https://www.dentoncounty.gov/formcenter/Contact-Forms-4/County-Clerk-51,form
Rockwall,County Clerk - Property Records,property@rockwallcountytexas.com,property@rockwallcountytexas.com,972-204-6300,"1111 E Yellowjacket Ln Suite 100 Rockwall TX 75087",No,"Copy orders by email; bulk via PIA form",https://rockwalltx-web.tylerhost.net/web/,https://www.rockwallcountytexas.com/113/Property-Records,email
Rockwall,County Clerk - PIA,,,,972-204-6300,"1111 E Yellowjacket Ln Suite 100 Rockwall TX 75087",No,Select County Clerk on PIA form,,https://www.rockwallcountytexas.com/1264/Public-Information-Request,form
