category,group,doc_type_code,doc_type_description
Land Records,STATE TAX LIENS,RST,RELEASE OF STATE TAX LIEN
Land Records,STATE TAX LIENS,RSTL,RELEASE STATE TAX LIEN
Land Records,STATE TAX LIENS,PST,PARTIAL RELEASE OF STATE TAX LIEN
Land Records,REAL PROPERTY,A/AOGR,A/AOGR
Land Records,REAL PROPERTY,A/APTOGL,A/APTOGL
Land Records,REAL PROPERTY,A&R/AOG&ML,"ACCEPTANCE & RATIFICATION OF AMENDMENT TO OIL, GAS"
Land Records,REAL PROPERTY,ARLEB,ACKNOWLEDGMENT OF RECEIPT OF LEASE EXTENSION BONUS
Land Records,REAL PROPERTY,A/C/OGMI,A/C/OGMI
Land Records,REAL PROPERTY,A&C/OGP&BS,A&C/OGP&BS
Land Records,REAL PROPERTY,A&C/PUOGL,A&C/PUOGL
Land Records,REAL PROPERTY,ADM DEED,ADM DEED
Land Records,REAL PROPERTY,ADMIN/DEED,ADMIN/DEED
Land Records,REAL PROPERTY,A&D/OGMI,A&D/OGMI
Land Records,REAL PROPERTY,ADR/OGML,ADR/OGML
Land Records,REAL PROPERTY,ACLAMP,AFFIDAVIT CLAIMING LIEN AGAINST MINERAL PROPERTY
Land Records,REAL PROPERTY,ANPMO,AFFIDAVIT OF NON-PRODUCTION & MINERAL OWNERSHIP
Land Records,REAL PROPERTY,AOGLX,AFFIDAVIT OF OIL & GAS LEASE EXTENSION
Land Records,REAL PROPERTY,AFF/MEMO/OGL,AFF/MEMO/OGL
Land Records,REAL PROPERTY,AFF/OGLD,AFF/OGLD
Land Records,REAL PROPERTY,AFF/OGRST,AFF/OGRST
Land Records,REAL PROPERTY,AFF/RE/OGL,AFF/RE/OGL
Land Records,REAL PROPERTY,AFF/SL/OGMP,AFF/SL/OGMP
Land Records,REAL PROPERTY,AGMT/ALD/OGML,AGMT/ALD/OGML
Land Records,REAL PROPERTY,AGR & DEED,AGR & DEED
Land Records,REAL PROPERTY,AGR/EXT/OLG,AGREEMENT TO EXTEND TERM OF OIL & GAS LEASE
Land Records,REAL PROPERTY,AGREE/OG&ML,AGREE/OG&ML
Land Records,REAL PROPERTY,AGR/EPT/OGL,AGR/EPT/OGL
Land Records,REAL PROPERTY,A/INT OG&ML,A/INT OG&ML
Land Records,REAL PROPERTY,A/LEASE,A/LEASE
Land Records,REAL PROPERTY,A/LEASES,A/LEASES
Land Records,REAL PROPERTY,AMD/A&C/PUOGL,AMD/A&C/PUOGL
Land Records,REAL PROPERTY,AMD/CD/OGML,AMD/CD/OGML
Land Records,REAL PROPERTY,AMD DEED,AMD DEED
Land Records,REAL PROPERTY,AMD/EPT/OGL,AMD/EPT/OGL
Land Records,REAL PROPERTY,AMD LEASE,AMD LEASE
Land Records,REAL PROPERTY,AMD/MOGL,AMD/MOGL
Land Records,REAL PROPERTY,AMD/OGL/SI,AMD/OGL/SI
Land Records,REAL PROPERTY,AMD/OGML,AMD/OGML
Land Records,REAL PROPERTY,AMD&RAT/OGML,AMD&RAT/OGML
Land Records,REAL PROPERTY,AMD/ROGL,AMD/ROGL
Land Records,REAL PROPERTY,AMD/TA/IOGL,AMD/TA/IOGL
Land Records,REAL PROPERTY,AMDT/OG&ML,AMDT/OG&ML
Land Records,REAL PROPERTY,AMEND/A/OGL,AMEND/A/OGL
Land Records,REAL PROPERTY,ARDET,AMENDED AND RESTATED DEED OF TRUST
Land Records,REAL PROPERTY,AOAGL,AMENDED OIL AND GAS LEASE
Land Records,REAL PROPERTY,A&ROGL,AMENDMENT AND RATIFICATION OF OIL AND GAS LEASE
Land Records,REAL PROPERTY,AMOAS,AMENDMENT OF ASSIGNMENT
Land Records,REAL PROPERTY,AMEN,"AMENDMENT OF IL,GAS AND INERAL LEASE"
Land Records,REAL PROPERTY,AOOGGML,AMENDMENT OF OIL GAS AND GAS MINERAL LEASE
Land Records,REAL PROPERTY,AMD/OGL,AMENDMENT OF OIL & GAS LEASE
Land Records,REAL PROPERTY,AMTPUAG,AMENDMENT OT POOLING AGREEMENT
Land Records,REAL PROPERTY,ATARAROOGL,AMENDMENT TO AND RATIFICATION AND REVIVOR OF OIL A
Land Records,REAL PROPERTY,AMD,AMENDMENT TO DEED OF TRUST
Land Records,REAL PROPERTY,ATOGL,AMENDMENT TO OIL & GAS LEASE
Land Records,REAL PROPERTY,AMEND/OGL&EPT,AMEND/OGL&EPT
Land Records,REAL PROPERTY,AMEND/OG&ML,AMEND/OG&ML
Land Records,REAL PROPERTY,AMOGL,AMEND OIL & GAS LEASE
Land Records,REAL PROPERTY,AMOGML,"AMEND OIL, GAS & MINERAL LEASE"
Land Records,REAL PROPERTY,AMEND/PU/OGL,AMEND/PU/OGL
Land Records,REAL PROPERTY,ATA,AMEND/TPART/AOGL
Land Records,REAL PROPERTY,AM&EXT/OGL,AM&EXT/OGL
Land Records,REAL PROPERTY,AMND LEASE,AMND LEASE
Land Records,REAL PROPERTY,AMND/OG&HL,AMND/OG&HL
Land Records,REAL PROPERTY,AMN OG&ML,AMN OG&ML
Land Records,REAL PROPERTY,AM/OGL,AM/OGL
Land Records,REAL PROPERTY,AM/TA/OGL,AM/TA/OGL
Land Records,REAL PROPERTY,A/OGI,A/OGI
Land Records,REAL PROPERTY,A/OGI.BS,A/OGI.BS
Land Records,REAL PROPERTY,A/OGI&MD,A/OGI&MD
Land Records,REAL PROPERTY,A/OGL/BS,A/OGL/BS
Land Records,REAL PROPERTY,A/OGL/ETC,A/OGL/ETC
Land Records,REAL PROPERTY,A/OGLHI,A/OGLHI
Land Records,REAL PROPERTY,A/OGLI/M/RI,A/OGLI/M/RI
Land Records,REAL PROPERTY,A/OGL&TMD,A/OGL&TMD
Land Records,REAL PROPERTY,A/OGL/WOW,A/OGL/WOW
Land Records,REAL PROPERTY,AOGL/WW,AOGL/WW
Land Records,REAL PROPERTY,A/OG&M ETC,A/OG&M ETC
Land Records,REAL PROPERTY,A/OGMI,A/OGMI
Land Records,REAL PROPERTY,A/OG&M INT,A/OG&M INT
Land Records,REAL PROPERTY,A/OGML,A/OGML
Land Records,REAL PROPERTY,A/OG&ML BS,A/OG&ML BS
Land Records,REAL PROPERTY,A/OGML/I,A/OGML/I
Land Records,REAL PROPERTY,A/OG&M PROP,A/OG&M PROP
Land Records,REAL PROPERTY,A/OG&OMINT,A/OG&OMINT
Land Records,REAL PROPERTY,A/OGOR/INT,A/OGOR/INT
Land Records,REAL PROPERTY,A/OG.P,A/OG.P
Land Records,REAL PROPERTY,APP/D/OG,APP/D/OG
Land Records,REAL PROPERTY,A/PRO OG&ML,A/PRO OG&ML
Land Records,REAL PROPERTY,A/PUOGL,A/PUOGL
Land Records,REAL PROPERTY,A/PUOGL/W&BS,A/PUOGL/W&BS
Land Records,REAL PROPERTY,A&R/OGL,A&R/OGL
Land Records,REAL PROPERTY,A&R/OG&ML,A&R/OG&ML
Land Records,REAL PROPERTY,ABOLI,ASGN/BS/OG/LSEHOLD/INT
Land Records,REAL PROPERTY,ASGN/LEASE,ASGN/LEASE
Land Records,REAL PROPERTY,ASGN/LEASES,ASGN/LEASES
Land Records,REAL PROPERTY,ASGN/UI/WI/UOGL,ASGN/UI/WI/UOGL
Land Records,REAL PROPERTY,ASGN/WI/OGL,ASGN/WI/OGL
Land Records,REAL PROPERTY,ASG/TASNG/OGL,ASG/TASNG/OGL
Land Records,REAL PROPERTY,ASMT&CONVEY/OGL,ASMT&CONVEY/OGL
Land Records,REAL PROPERTY,ASN/OGL ETC,ASN/OGL ETC
Land Records,REAL PROPERTY,AS/OGI/BS/RC,AS/OGI/BS/RC
Land Records,REAL PROPERTY,ASS/CON/OGMP,ASS/CON/OGMP
Land Records,REAL PROPERTY,ALD,ASSESSMENT LIEN DEED
Land Records,REAL PROPERTY,AS,ASSIGNMENT
Land Records,REAL PROPERTY,ABS1,ASSIGNMENT AND BILL OF SALE
Land Records,REAL PROPERTY,ABAC,ASSIGNMENT BILLOF SALE AND CONVEYANCE
Land Records,REAL PROPERTY,AAC2,ASSIGNMENT & CONVEYANCE
Land Records,REAL PROPERTY,ACABOS,"ASSIGNMENT, CONVEYANCE AND BILL OF SALE"
Land Records,REAL PROPERTY,ACBS,"ASSIGNMENT, CONVEYANCE & BILL OF SALE"
Land Records,REAL PROPERTY,AASG,"ASSIGNMENT,CONVEYANCE,DEED AND BILL OF S"
Land Records,REAL PROPERTY,AOIIL,ASSIGNMENT OF AN INTEREST IN LEASE
Land Records,REAL PROPERTY,AOC,ASSIGNMENT OF CONTRACT
Land Records,REAL PROPERTY,A/DT,ASSIGNMENT OF DEED OF TRUST
Land Records,REAL PROPERTY,ASGN EASE,ASSIGNMENT OF EASEMENTS
Land Records,REAL PROPERTY,ASJ,ASSIGNMENT OF JUDGMENT
Land Records,REAL PROPERTY,ASL,ASSIGNMENT OF LEASE
Land Records,REAL PROPERTY,AL,ASSIGNMENT OF LIEN
Land Records,REAL PROPERTY,ASM,ASSIGNMENT OF MINERAL INTEREST
Land Records,REAL PROPERTY,AMRI,ASSIGNMENT OF MINERAL/ROYALTY INTERESTS
Land Records,REAL PROPERTY,A/OGL,ASSIGNMENT OF OIL AND GAS LEASE
Land Records,REAL PROPERTY,AOOGL,ASSIGNMENT OF OIL AND GAS LEASES
Land Records,REAL PROPERTY,AOGML,ASSIGNMENT OF OIL GAS AND MINERAL LEASES
Land Records,REAL PROPERTY,AORRI,ASSIGNMENT OF OVERRIDING ROYALTY INTEREST
Land Records,REAL PROPERTY,AORI,ASSIGNMENT OF REVERSIONARY INTERESTS
Land Records,REAL PROPERTY,ASR,ASSIGNMENT OF ROYALTY INTEREST
Land Records,REAL PROPERTY,AT1,ASSIGNMENT OF TRUSTEE/SUBSTITUTE TRUSTEE
Land Records,REAL PROPERTY,AOWI,ASSIGNMENT OF WELLBORE INTEREST
Land Records,REAL PROPERTY,AEROW,ASSIGNMENTS OF EASEMENTS & RIGHT OF WAY
Land Records,REAL PROPERTY,ASOGL,ASSIGN OIL & GAS LEASE
Land Records,REAL PROPERTY,ASOGML,"ASSIGN OIL, GAS & MINERAL LEASE"
Land Records,REAL PROPERTY,ASSN/LEASE,ASSN/LEASE
Land Records,REAL PROPERTY,ASSN OG&ML,ASSN OG&ML
Land Records,REAL PROPERTY,ASS/OGL/BSC,ASS/OGL/BSC
Land Records,REAL PROPERTY,ASSUM DEED,ASSUM DEED
Land Records,REAL PROPERTY,ASSUMP DEED,ASSUMP DEED
Land Records,REAL PROPERTY,A/UI/OGML,A/UI/OGML
Land Records,REAL PROPERTY,BASE LEASE,BASE LEASE
Land Records,REAL PROPERTY,BC/OGMD,BC/OGMD
Land Records,REAL PROPERTY,BC/OGP,BC/OGP
Land Records,REAL PROPERTY,ASSG,"BILL OF CONVEYANCE,ASSIGNMENT"
Land Records,REAL PROPERTY,BOGMCAD,BOGMCAD
Land Records,REAL PROPERTY,BRROGL,BONUS RECEIPT AND RATIFICATION OF OIL AND GAS LEAS
Land Records,REAL PROPERTY,CA/OGL,CA/OGL
Land Records,REAL PROPERTY,C&A/OGLML,C&A/OGLML
Land Records,REAL PROPERTY,CAPU/OGL,CAPU/OGL
Land Records,REAL PROPERTY,CMOR,CBA/MI/OGL/RI&BS
Land Records,REAL PROPERTY,CC/COR DEED,CC/COR DEED
Land Records,REAL PROPERTY,CC/DEED,CC/DEED
Land Records,REAL PROPERTY,CC/DEED B/S,CC/DEED B/S
Land Records,REAL PROPERTY,CC/MIN DEED,CC/MIN DEED
Land Records,REAL PROPERTY,CC/OGIADM,CC/OGIADM
Land Records,REAL PROPERTY,CC/OGL,CC/OGL
