UNIQID,API,GIS_API5,GIS_WELL_NUMBER,SYMNUM,GIS_SYMBOL_DESCRIPTION,RELIAB,GIS_LOCATION_SOURCE,GIS_LAT27,GIS_LONG27,GIS_LAT83,GIS_LONG83,OBJECTID
1438407,32943003,43003,0328SH,4,Oil Well,40,Operator reported location - Distances and Plat,3220948.6269685,2377421.15157481,31.75993409,-102.00767228,3618
1438408,32943004,43004,0316AH,4,Oil Well,40,Operator reported location - Distances and Plat,3220467.12368767,2375885.30807087,31.75853109,-102.01259478,3620
1448087,32943055,43055,0318AH,4,Oil Well,40,Operator reported location - Distances and Plat,3220943.28772967,2377347.62729658,31.75991571,-102.00790897,5057
1448093,32943068,43068,0346SH,4,Oil Well,40,Operator reported location - Distances and Plat,3220481.16141732,2375852.36679789,31.7585681,-102.01270178,5065
1596497,32944419,44419,1,2,Permitted Location,55,Coordinates - Operator reported,31.84231267,-102.17456867,31.84244026,-102.17498507,6164
743958,32941246,41246,0104WA,4,Oil Well,40,Operator reported location - Distances and Plat,3253832.81528871,2378502.91108924,31.8505732,-102.00611899,6728
1406403,32942716,42716,0401BH,4,Oil Well,40,Operator reported location - Distances and Plat,3218608.33333333,2367611.15354331,31.75301282,-102.03916666,6858
1406406,32942718,42718,0412AH,4,Oil Well,40,Operator reported location - Distances and Plat,3218704.8933727,2367985.32841207,31.75329776,-102.03796635,7907
1335073,32941766,41766,805WB,4,Oil Well,40,Operator reported location - Distances and Plat,3317944.17290026,2340008.58070867,32.02514832,-102.13431224,9206
1359183,32942127,42127,10HF,4,Oil Well,40,Operator reported location - Distances and Plat,3229842.16699475,2347068.74146982,31.78273832,-102.10563344,9217
1386318,32942477,42477,3114AH,4,Oil Well,40,Operator reported location - Distances and Plat,3245091.37368767,2418740.50787401,31.82844284,-101.87580854,9503
743892,32938270,38270,4307M,7,Plugged Oil Well,50,U.S.G.S 7.5-min. quadrangle or aerial photograph,3257995.75492126,2348596.30249344,31.86050833,-102.10286856,9567
1359180,32942124,42124,7HF,4,Oil Well,40,Operator reported location - Distances and Plat,3229723.27132545,2346620.06922573,31.78238733,-102.10707271,10248
744962,32933755,33755,715A,4,Oil Well,40,Operator reported location - Distances and Plat,3244615.68700787,2413916.63287401,31.82690651,-101.89134351,10425
1782276,32946725,46725,183R,2,Permitted Location,55,Coordinates - Operator reported,32.00888028,-101.97740306,32.0090044,-101.97781514,10907
663372,32941318,41318,9UL,9,Canceled / Abandoned Location,55,Coordinates - Operator reported,3319493.14895013,2313738.27854331,32.02784361,-102.21889055,10938
663003,32938630,38630,913,4,Oil Well,55,Coordinates - Operator reported,3326248.51673229,2309785.47604987,32.04637385,-102.23254781,11257
1407377,32942732,42732,14,4,Oil Well,55,Coordinates - Operator reported,3226759.53510499,2359056.50032808,31.77487091,-102.06679758,13602
662988,32938629,38629,912,4,Oil Well,55,Coordinates - Operator reported,3326937.4160105,2310838.1043307,32.04832936,-102.22918939,15706
1512715,32943694,43694,208LH,2,Permitted Location,55,Coordinates - Operator reported,31.98446667,-102.17739722,31.98458954,-102.17781464,15882
1512714,32943693,43693,207AH,2,Permitted Location,55,Coordinates - Operator reported,31.98476944,-102.17613611,31.98489232,-102.17655349,15946
708918,32936407,36407,2815,7,Plugged Oil Well,50,U.S.G.S 7.5-min. quadrangle or aerial photograph,3308630.207021,2312583.66469817,31.99801211,-102.22235639,18741
1313350,32941379,41379,8LS,4,Oil Well,40,Operator reported location - Distances and Plat,3230356.55118111,2370506.96292651,31.78551564,-102.03052792,19996
1453837,32943124,43124,115H,4,Oil Well,40,Operator reported location - Distances and Plat,3297919.68011811,2379983.98753281,31.97204385,-102.0039058,20182
1397125,32942633,42633,14H,4,Oil Well,40,Operator reported location - Distances and Plat,3289840.71194226,2348037.58136483,31.94802976,-102.10619304,20973
743001,32931351,31351,1812,7,Plugged Oil Well,50,U.S.G.S 7.5-min. quadrangle or aerial photograph,3244905.55282152,2339303.94094488,31.82396776,-102.13203938,21558
742900,32931432,31432,1825,7,Plugged Oil Well,20,Mainframe WELLBORE distances,3250055.03838582,2338100.38221785,31.83808562,-102.13624235,21561
1724263,32945633,45633,2943SH,4,Oil Well,40,Operator reported location - Distances and Plat,3312068.31299213,2306798.87992126,32.00715854,-102.24127495,25636
1485761,32943386,43386,3H,4,Oil Well,40,Operator reported location - Distances and Plat,3273364.4835958,2368600.85925196,31.90384664,-102.03921887,28132
1485762,32943387,43387,4H,4,Oil Well,40,Operator reported location - Distances and Plat,3273439.44356956,2368910.01902887,31.90406878,-102.03822525,28133
1485763,32943388,43388,5H,4,Oil Well,40,Operator reported location - Distances and Plat,3273565.64370079,2369386.91896325,31.90444053,-102.03669314,28134
1453835,32943122,43122,113H,4,Oil Well,40,Operator reported location - Distances and Plat,3297531.14107612,2378360.30413386,31.9708927,-102.00912867,28136
1484283,32943349,43349,307LH,4,Oil Well,40,Operator reported location - Distances and Plat,3250299.61712599,2321609.63976377,31.83785228,-102.18944607,28221
1499541,32943555,43555,4409H,4,Oil Well,40,Operator reported location - Distances and Plat,3323156.62237533,2393408.91437007,32.04220703,-101.96197993,29683
1451847,32943115,43115,0064WB,4,Oil Well,40,Operator reported location - Distances and Plat,3220855.44324148,2401216.66305774,31.76084509,-101.93096166,32031
1451848,32943116,43116,0065WA,4,Oil Well,40,Operator reported location - Distances and Plat,3221468.4097769,2401321.64927821,31.76253836,-101.93065772,32032
1451849,32943117,43117,0066WB,4,Oil Well,40,Operator reported location - Distances and Plat,3221559.18963255,2401923.73917323,31.76281733,-101.92872192,32033
1451850,32943118,43118,0067WA,4,Oil Well,40,Operator reported location - Distances and Plat,3221683.90944882,2402143.08136483,31.76317137,-101.92802185,32034
1679062,32945222,45222,3037SH,4,Oil Well,40,Operator reported location - Distances and Plat,3311455.69881889,2304156.51607612,32.00530352,-102.24976296,32099
1451846,32943114,43114,0063WA,4,Oil Well,40,Operator reported location - Distances and Plat,3221274.51082677,2400488.37401575,31.76196421,-101.93333295,32565
1392005,32942566,42566,0417AH,4,Oil Well,40,Operator reported location - Distances and Plat,3248717.53018373,2314908.12795275,31.83312812,-102.21096322,36060
1392003,32942564,42564,0416AH,4,Oil Well,40,Operator reported location - Distances and Plat,3248746.457021,2313899.15518373,31.83317111,-102.21423169,42282
