ABSTRACT,APINUM,BLOCK,COMPLETION,FIELD_NAME,LEASE_NAME,GAS_RRCID,OIL_GAS_CO,ON_OFF_SCH,OPERATOR,PERMIT_NUM,PLUG_DATE,REFER_TO_A,SECTION,SURVEY,TOTAL_DEPT,WELLID,QUADNUM
49,16536440,H,20060927,TEDBIT (SAN ANDRES),WHITAKER,68891,O,Y,"TREK RESOURCES, INC.",621358,0,00000000,67,D&W RR CO,5116,   1H,3202431
,16583509,,0,,,000000,,,,000000,0,50101458,,,0,,
,16583508,,0,,,000000,,,,000000,0,50102497,,,0,,
,16583507,,0,,,000000,,,,000000,0,50102498,,,0,,
,16583506,,0,,,000000,,,,000000,0,50102231,,,0,,
,16583505,,0,,,000000,,,,000000,0,50102499,,,0,,
,16583504,,0,,,000000,,,,000000,0,50102500,,,0,,
,16583503,,0,,,000000,,,,000000,0,50102233,,,0,,
,16583502,,0,,,000000,,,,000000,0,50110172,,,0,,
,16583501,,0,,,000000,,,,000000,0,50102495,,,0,,
,16583500,,0,,,000000,,,,000000,0,50110279,,,0,,
,16583499,,0,,,000000,,,,000000,0,50100413,,,0,,
,16583498,,0,,,000000,,,,000000,0,50101824,,,0,,
,16583497,,0,,,000000,,,,000000,0,50102801,,,0,,
,16583496,,0,,,000000,,,,000000,0,50102847,,,0,,
,16583495,,0,,,000000,,,,000000,0,50102845,,,0,,
,16583494,,0,,,000000,,,,000000,0,50102846,,,0,,
,16583493,,0,,,000000,,,,000000,0,50102551,,,0,,
,16583492,,0,,,000000,,,,000000,0,50102558,,,0,,
,16583491,,0,,,000000,,,,000000,0,50102559,,,0,,
,16583490,,0,,,000000,,,,000000,0,50102553,,,0,,
,16583489,,0,,,000000,,,,000000,0,50101424,,,0,,
,16583488,,0,,,000000,,,,000000,0,50101431,,,0,,
,16583487,,0,,,000000,,,,000000,0,50101433,,,0,,
,16583486,,0,,,000000,,,,000000,0,50101437,,,0,,
,16583485,,0,,,000000,,,,000000,0,50101434,,,0,,
,16583484,,0,,,000000,,,,000000,0,50101440,,,0,,
,16583483,,0,,,000000,,,,000000,0,50101436,,,0,,
,16583482,,0,,,000000,,,,000000,0,50110086,,,0,,
,16583481,,0,,,000000,,,,000000,0,50110085,,,0,,
,16583480,,0,,,000000,,,,000000,0,50110261,,,0,,
,16583479,,0,WASSON 72,YOAKUM WASSON CLEARFORK UNIT,63523,O,Y,OCCIDENTAL PERMIAN LTD.,000000,0,00000000,,NO LOCATION DATA AVAILABLE,0,4406Y,
,16583478,,0,,,000000,,,,000000,0,50110262,,,0,,
,16583477,,0,WASSON 72,YOAKUM WASSON CLEARFORK UNIT,63523,O,Y,OCCIDENTAL PERMIAN LTD.,000000,19810123,00000000,894,GIBSON,8750,4405Y,
,16583476,,0,,,000000,,,,000000,0,50110182,,,0,,
,16583475,,0,,,000000,,,,000000,0,50110181,,,0,,
,16583474,,0,,,000000,,,,000000,0,50110184,,,0,,
,16583473,,0,,,000000,,,,000000,0,50110183,,,0,,
,16583472,,0,,,000000,,,,000000,0,50110026,,,0,,
,16583471,,0,,,000000,,,,000000,0,50110025,,,0,,
,16583470,,0,,,000000,,,,000000,0,50110027,,,0,,
,16583469,,0,,,000000,,,,000000,0,50110028,,,0,,
,16583468,,0,,,000000,,,,000000,0,50110183,,,0,,
,16583467,,0,,,000000,,,,000000,0,50102225,,,0,,
,16583466,,0,,,000000,,,,000000,0,50102451,,,0,,
,16583465,,0,,,000000,,,,000000,0,50102482,,,0,,
,16583464,,0,,,000000,,,,000000,0,50102473,,,0,,
,16583463,,0,,,000000,,,,000000,0,50102478,,,0,,
,16583462,,0,,,000000,,,,000000,0,50102466,,,0,,
,16583461,,0,,,000000,,,,000000,0,50102436,,,0,,
,16583460,,0,,,000000,,,,000000,0,50102461,,,0,,
,16583459,,0,,,000000,,,,000000,0,50102470,,,0,,
,16583458,,0,,,000000,,,,000000,0,50102445,,,0,,
,16583457,,0,,,000000,,,,000000,0,50101426,,,0,,
,16583456,,0,,,000000,,,,000000,0,50101427,,,0,,
,16583455,,0,,,000000,,,,000000,0,50101423,,,0,,
,16583454,,0,,,000000,,,,000000,0,50101429,,,0,,
,16583453,,0,,,000000,,,,000000,0,50110219,,,0,,
,16583452,,0,,,000000,,,,000000,0,50102251,,,0,,
,16583451,,0,,,000000,,,,000000,0,50110221,,,0,,
,16583450,,0,,,000000,,,,000000,0,50110170,,,0,,
,16583449,,0,,,000000,,,,000000,0,50102446,,,0,,
,16583448,,0,,,000000,,,,000000,0,50102474,,,0,,
,16583447,,0,,,000000,,,,000000,0,50102479,,,0,,
,16583446,,0,,,000000,,,,000000,0,50102457,,,0,,
,16583445,,0,,,000000,,,,000000,0,50102462,,,0,,
,16583444,,0,,,000000,,,,000000,0,50102452,,,0,,
,16583443,,0,,,000000,,,,000000,0,50102471,,,0,,
,16583442,,0,,,000000,,,,000000,0,50102433,,,0,,
,16583441,,0,,,000000,,,,000000,0,50102447,,,0,,
,16583440,,0,,,000000,,,,000000,0,50102438,,,0,,
,16583439,,0,,,000000,,,,000000,0,50102477,,,0,,
,16583438,,0,,,000000,,,,000000,0,50110168,,,0,,
,16583437,,0,,,000000,,,,000000,0,50102475,,,0,,
,16583436,,0,,,000000,,,,000000,0,50102479,,,0,,
,16583435,,0,,,000000,,,,000000,0,50102468,,,0,,
,16583434,,0,,,000000,,,,000000,0,16532073,,,0,,
,16583433,,0,,,000000,,,,000000,0,16500600,,,0,,
,16583432,,0,,,000000,,,,000000,0,16501219,,,0,,
,16583431,,0,,,000000,,,,000000,0,16502906,,,0,,
,16583430,,0,,,000000,,,,000000,0,16502905,,,0,,
,16583429,,0,,,000000,,,,000000,0,16502980,,,0,,
,16583428,,0,,,000000,,,,000000,0,16502979,,,0,,
,16583427,,0,,,000000,,,,000000,0,16530069,,,0,,
,16583426,,0,,,000000,,,,000000,0,16530068,,,0,,
,16583425,,0,,,000000,,,,000000,0,16530034,,,0,,
,16583424,,0,,,000000,,,,000000,0,16530025,,,0,,
,16583423,,0,,,000000,,,,000000,0,16510608,,,0,,
,16583422,,0,,,000000,,,,000000,0,16510411,,,0,,
,16583421,,0,,,000000,,,,000000,0,16510330,,,0,,
,16583420,,0,,,000000,,,,000000,0,16502906,,,0,,
,16583419,,0,,,000000,,,,000000,0,16502905,,,0,,
,16583418,,0,,,000000,,,,000000,0,16502909,,,0,,
,16583417,,0,,,000000,,,,000000,0,16503059,,,0,,
,16583416,,0,,,000000,,,,000000,0,16503058,,,0,,
,16583415,,0,,,000000,,,,000000,0,16502987,,,0,,
,16583414,,0,,,000000,,,,000000,0,16503023,,,0,,
,16583413,,0,,,000000,,,,000000,0,16503051,,,0,,
